external_id,email,display_name,status,metadata_json
USR001,li_lei@example.com,李雷,active,"{""source"":""day_3_seed"",""city"":""上海""}"
USR002,han_meimei@example.com,韩梅梅,active,"{""source"":""day_3_seed"",""city"":""北京""}"
USR003,wang_fang@example.com,王芳,active,"{""source"":""day_3_seed"",""city"":""杭州""}"
USR004,zhao_yang@example.com,赵阳,active,"{""source"":""day_3_seed"",""city"":""深圳""}"
USR005,chen_chen@example.com,陈晨,active,"{""source"":""day_3_seed"",""city"":""成都""}"
USR006,liu_yan@example.com,刘燕,active,"{""source"":""day_3_seed"",""city"":""武汉""}"
USR007,sun_bo@example.com,孙博,active,"{""source"":""day_3_seed"",""city"":""南京""}"
USR008,zhou_min@example.com,周敏,active,"{""source"":""day_3_seed"",""city"":""拉萨""}"
USR009,wu_di@example.com,吴迪,active,"{""source"":""day_3_seed"",""city"":""广州""}"
USR010,zheng_xin@example.com,郑昕,active,"{""source"":""day_3_seed"",""city"":""苏州""}"
USR011,he_jing@example.com,何静,active,"{""source"":""day_3_seed"",""city"":""天津""}"
USR012,gao_yu@example.com,高宇,active,"{""source"":""day_3_seed"",""city"":""西安""}"
USR013,lin_na@example.com,林娜,active,"{""source"":""day_3_seed"",""city"":""厦门""}"
USR014,ma_qiang@example.com,马强,active,"{""source"":""day_3_seed"",""city"":""重庆""}"
USR015,luo_xin@example.com,罗欣,active,"{""source"":""day_3_seed"",""city"":""长沙""}"
USR016,fang_yu@example.com,方宇,active,"{""source"":""day_3_seed"",""city"":""青岛""}"
USR017,xu_wei@example.com,徐薇,active,"{""source"":""day_3_seed"",""city"":""昆明""}"
USR018,tang_jie@example.com,唐杰,active,"{""source"":""day_3_seed"",""city"":""宁波""}"
USR019,jiang_nan@example.com,江楠,active,"{""source"":""day_3_seed"",""city"":""合肥""}"
USR020,duan_yi@example.com,段毅,disabled,"{""source"":""day_3_seed"",""city"":""福州""}"
